"","X1","YEAR","Topic","Subtopic","ShortQuestionText","Greater_Risk_Question","Description","Greater_Risk_Data_Value","Greater_Risk_Low_Confidence_Limit","Greater_Risk_High_Confidence_Limit","Lesser_Risk_Question","Lesser_Risk_Data_Value","Lesser_Risk_Low_Confidence_Limit","Lesser_Risk_High_Confidence_Limit","Sample_Size","Sex","Race","Grade","Latitude","Longitude","LocationId","State"
"173",19007,2013,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",20.3,16.53,24.77,"Did not currently drink alcohol",79.7,75.23,83.47,2440,"Total","Total","9th","42.82700103200045"," -75.54397042699964","36","New York"
"174",19253,2013,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",24.7,16.23,35.8,"Did not currently drink alcohol",75.3,64.2,83.77,134,"Female","White","9th","40.13057004800049"," -74.27369128799967","34","New Jersey"
"175",19489,2003,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",17.7,12.64,24.19,"Did not currently drink alcohol",82.3,75.81,87.36,171,"Male","Asian","10th","42.82700103200045"," -75.54397042699964","36","New York"
"176",19582,2007,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",56.4,44.99,67.15,"Did not currently drink alcohol",43.6,32.85,55.01,121,"Female","Hispanic or Latino","12th","34.52088095200048"," -106.24058098499967","35","New Mexico"
"177",20615,1997,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",50.5,45.64,55.43,"Did not currently drink alcohol",49.5,44.57,54.36,709,"Female","Total","Total","39.493240390000494"," -117.07184056399967","32","Nevada"
"178",20758,2013,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",22.7,17.8,28.52,"Did not currently drink alcohol",77.3,71.48,82.2,296,"Total","Asian","11th","21.304850435000446"," -157.85774940299973","15","Hawaii"
"179",20947,1993,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",59.7,55.23,64.04,"Did not currently drink alcohol",40.3,35.96,44.77,361,"Total","Total","10th","44.353130053000484"," -100.3735306369997","46","South Dakota"
"180",21188,2015,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",22.1,16.41,29.1,"Did not currently drink alcohol",77.9,70.9,83.59,337,"Female","White","9th","37.645970271000465"," -84.77497104799966","21","Kentucky"
"181",21214,2011,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",15.9,10.35,23.67,"Did not currently drink alcohol",84.1,76.33,89.65,240,"Total","Asian","Total","45.254228894000505"," -68.98503133599962","23","Maine"
"182",21700,2003,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",42,33.94,50.53,"Did not currently drink alcohol",58,49.47,66.06,444,"Total","Total","11th","35.466220975000454"," -79.15925046299964","37","North Carolina"
"183",21814,2005,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",48.3,42.6,53.99,"Did not currently drink alcohol",51.7,46.01,57.4,832,"Female","Total","Total","47.47531977900047"," -100.11842104899966","38","North Dakota"
"184",21893,2015,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",21.5,19.91,23.25,"Did not currently drink alcohol",78.5,76.75,80.09,2674,"Total","Black or African American","11th","39.29058096400047"," -76.60926011099963","24","Maryland"
"185",22244,2003,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",55.7,40.83,69.7,"Did not currently drink alcohol",44.3,30.3,59.17,180,"Total","Black or African American","Total","38.66551020200046"," -80.71264013499967","54","West Virginia"
"186",24166,1997,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",56.7,46.56,66.24,"Did not currently drink alcohol",43.3,33.76,53.44,248,"Total","White","11th","39.493240390000494"," -117.07184056399967","32","Nevada"
"187",24533,2015,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",24.4,19.93,29.57,"Did not currently drink alcohol",75.6,70.43,80.07,446,"Female","Total","9th","32.745510099000455"," -89.53803082499968","28","Mississippi"
"188",24906,2009,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",38.8,30.37,47.95,"Did not currently drink alcohol",61.2,52.05,69.63,131,"Total","Multiple Race","Total","39.008830667000495"," -75.57774116799965","10","Delaware"
"189",25310,1997,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",58.9,54.07,63.51,"Did not currently drink alcohol",41.1,36.49,45.93,463,"Male","Total","11th","42.27687047000046"," -72.08269067499964","25","Massachusetts"
"190",25336,2015,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",30,26.15,34.12,"Did not currently drink alcohol",70,65.88,73.85,739,"Total","Multiple Race","10th","39.29058096400047"," -76.60926011099963","24","Maryland"
"191",25742,2013,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",33.5,25.46,42.62,"Did not currently drink alcohol",66.5,57.38,74.54,145,"Female","White","10th","39.008830667000495"," -75.57774116799965","10","Delaware"
"192",25749,2015,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",36.8,33.31,40.37,"Did not currently drink alcohol",63.2,59.63,66.69,1609,"Total","White","12th","45.254228894000505"," -68.98503133599962","23","Maine"
"193",25897,2007,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",42.1,36.7,47.65,"Did not currently drink alcohol",57.9,52.35,63.3,690,"Female","Total","Total","38.66551020200046"," -80.71264013499967","54","West Virginia"
"194",26097,2007,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",39.2,26.04,54.15,"Did not currently drink alcohol",60.8,45.85,73.96,162,"Male","Total","11th","39.29058096400047"," -76.60926011099963","24","Maryland"
"195",26738,2005,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",56.3,44.79,67.19,"Did not currently drink alcohol",43.7,32.81,55.21,186,"Total","Total","12th","45.254228894000505"," -68.98503133599962","23","Maine"
"196",28837,2003,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",43.4,40.45,46.43,"Did not currently drink alcohol",56.6,53.57,59.55,1861,"Total","Total","Total","39.493240390000494"," -117.07184056399967","32","Nevada"
"197",28942,2009,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",47.2,39.06,55.59,"Did not currently drink alcohol",52.8,44.41,60.94,217,"Total","White","12th","38.34774030000045"," -98.20078122699965","20","Kansas"
"198",29013,2005,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",41,36.57,45.55,"Did not currently drink alcohol",59,54.45,63.43,1924,"Total","Total","10th","43.62538123900049"," -72.51764079099962","50","Vermont"
"199",29196,2005,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",48.1,42.34,53.9,"Did not currently drink alcohol",51.9,46.1,57.66,537,"Female","Total","10th","42.27687047000046"," -72.08269067499964","25","Massachusetts"
"200",29487,2001,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",45.4,37.77,53.16,"Did not currently drink alcohol",54.6,46.84,62.23,434,"Female","White","Total","32.745510099000455"," -89.53803082499968","28","Mississippi"
"201",29618,2013,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",35.6,32.87,38.5,"Did not currently drink alcohol",64.4,61.5,67.13,1472,"Total","Total","Total","38.635790776000476"," -92.56630005299968","29","Missouri"
"202",31038,2007,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",37.2,28,47.44,"Did not currently drink alcohol",62.8,52.56,72,362,"Female","Black or African American","11th","42.82700103200045"," -75.54397042699964","36","New York"
"203",31053,1995,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",34.6,30.03,39.41,"Did not currently drink alcohol",65.4,60.59,69.97,771,"Total","White","9th","32.84057112200048"," -86.63186076199969","01","Alabama"
"204",31508,2005,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",42,35.4,48.93,"Did not currently drink alcohol",58,51.07,64.6,153,"Female","White","9th","38.66551020200046"," -80.71264013499967","54","West Virginia"
"205",31510,2003,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",47.4,42.44,52.45,"Did not currently drink alcohol",52.6,47.55,57.56,318,"Male","Total","11th","39.008830667000495"," -75.57774116799965","10","Delaware"
"206",31524,2003,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",51.4,40.57,62.09,"Did not currently drink alcohol",48.6,37.91,59.43,179,"Male","White","11th","45.254228894000505"," -68.98503133599962","23","Maine"
"207",31751,1999,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",51.2,44.96,57.43,"Did not currently drink alcohol",48.8,42.57,55.04,315,"Female","Total","11th","44.6613195430005"," -84.71439026999968","26","Michigan"
"208",31881,2009,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",36.9,29.67,44.85,"Did not currently drink alcohol",63.1,55.15,70.33,356,"Total","White","12th","43.682630005000476"," -114.3637300419997","16","Idaho"
"209",31910,1999,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",47.9,38.24,57.69,"Did not currently drink alcohol",52.1,42.31,61.76,141,"Male","Black or African American","Total","42.27687047000046"," -72.08269067499964","25","Massachusetts"
"210",32564,2009,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",46.8,41.97,51.67,"Did not currently drink alcohol",53.2,48.33,58.03,516,"Female","Hispanic or Latino","Total","31.827240407000488"," -99.42677020599967","48","Texas"
"211",32781,1997,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",46.5,43.38,49.57,"Did not currently drink alcohol",53.5,50.43,56.62,2403,"Male","Total","Total","33.998821303000454"," -81.04537120699968","45","South Carolina"
"212",32987,2007,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",55.2,44.85,65.04,"Did not currently drink alcohol",44.8,34.96,55.15,186,"Female","Total","12th","38.34774030000045"," -98.20078122699965","20","Kansas"
"213",32996,2015,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",42.5,33.63,51.82,"Did not currently drink alcohol",57.5,48.18,66.37,243,"Male","White","11th","35.466220975000454"," -79.15925046299964","37","North Carolina"
"214",33122,2005,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",19,10.92,31,"Did not currently drink alcohol",81,69,89.08,325,"Total","Total","11th","39.360700171000474"," -111.58713063499971","49","Utah"
"215",34533,1997,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",29.4,23.36,36.34,"Did not currently drink alcohol",70.6,63.66,76.64,287,"Female","Black or African American","11th","33.998821303000454"," -81.04537120699968","45","South Carolina"
"216",34859,2009,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",46.2,41.7,50.75,"Did not currently drink alcohol",53.8,49.25,58.3,755,"Total","Total","11th","40.48501028300046"," -88.99771017799969","17","Illinois"
"217",36750,2011,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",34.8,31.16,38.6,"Did not currently drink alcohol",65.2,61.4,68.84,2018,"Total","White","Total","39.766910452000445"," -86.14996019399968","18","Indiana"
"218",36850,2011,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",28.5,22.49,35.35,"Did not currently drink alcohol",71.5,64.65,77.51,447,"Total","Black or African American","Total","32.83968109300048"," -83.62758034599966","13","Georgia"
"219",36917,2015,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",23.9,19.02,29.59,"Did not currently drink alcohol",76.1,70.41,80.98,1066,"Total","Total","10th","44.6613195430005"," -84.71439026999968","26","Michigan"
"220",37360,1993,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",54.2,49.33,58.95,"Did not currently drink alcohol",45.8,41.05,50.67,830,"Total","Total","10th","41.6410409880005"," -99.36572062299967","31","Nebraska"
"221",37445,1995,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",41.2,33.77,49.11,"Did not currently drink alcohol",58.8,50.89,66.23,133,"Female","Total","12th","21.304850435000446"," -157.85774940299973","15","Hawaii"
"222",37738,2009,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",38.4,32.16,45.15,"Did not currently drink alcohol",61.6,54.85,67.84,319,"Female","Total","10th","39.493240390000494"," -117.07184056399967","32","Nevada"
"223",37886,2003,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",66.7,58.09,74.4,"Did not currently drink alcohol",33.3,25.6,41.91,177,"Male","White","12th","47.06652897200047"," -109.42442064499971","30","Montana"
"224",37926,2001,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",52.2,39.68,64.36,"Did not currently drink alcohol",47.8,35.64,60.32,117,"Male","White","12th","35.466220975000454"," -79.15925046299964","37","North Carolina"
"225",38061,2005,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",39.8,33.66,46.35,"Did not currently drink alcohol",60.2,53.65,66.34,589,"Total","White","9th","42.82700103200045"," -75.54397042699964","36","New York"
"226",38144,2001,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",53,48.04,57.93,"Did not currently drink alcohol",47,42.07,51.96,623,"Total","Total","10th","43.23554134300048"," -108.10983035299967","56","Wyoming"
"227",38803,1991,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",45.4,38.37,52.59,"Did not currently drink alcohol",54.6,47.41,61.63,172,"Female","White","10th","32.83968109300048"," -83.62758034599966","13","Georgia"
"228",39028,1993,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",37.8,31.86,44.19,"Did not currently drink alcohol",62.2,55.81,68.14,428,"Male","White","10th","43.682630005000476"," -114.3637300419997","16","Idaho"
"229",39062,1995,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",50.1,42.5,57.75,"Did not currently drink alcohol",49.9,42.25,57.5,274,"Total","White","10th","45.254228894000505"," -68.98503133599962","23","Maine"
"230",39344,2011,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",33.7,29.77,37.87,"Did not currently drink alcohol",66.3,62.13,70.23,760,"Male","Total","10th","28.932040377000476"," -81.92896053899966","12","Florida"
"231",39707,2011,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",29.7,20.47,41,"Did not currently drink alcohol",70.3,59,79.53,248,"Female","White","9th","42.82700103200045"," -75.54397042699964","36","New York"
"232",40056,2011,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",38.5,32.32,45.07,"Did not currently drink alcohol",61.5,54.93,67.68,176,"Female","Hispanic or Latino","Total","45.254228894000505"," -68.98503133599962","23","Maine"
"233",40311,2013,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",26,22.3,30.11,"Did not currently drink alcohol",74,69.89,77.7,2266,"Female","Total","Total","21.304850435000446"," -157.85774940299973","15","Hawaii"
"234",40562,2013,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",38.9,32.1,46.24,"Did not currently drink alcohol",61.1,53.76,67.9,230,"Male","Hispanic or Latino","11th","28.932040377000476"," -81.92896053899966","12","Florida"
"235",40882,2011,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",33.9,28.78,39.43,"Did not currently drink alcohol",66.1,60.57,71.22,496,"Total","Hispanic or Latino","9th","28.932040377000476"," -81.92896053899966","12","Florida"
"236",40893,1999,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",44.5,41.29,47.83,"Did not currently drink alcohol",55.5,52.17,58.71,572,"Total","White","9th","44.6613195430005"," -84.71439026999968","26","Michigan"
"237",41107,2013,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",39.5,31.09,48.51,"Did not currently drink alcohol",60.5,51.49,68.91,151,"Female","White","12th","43.682630005000476"," -114.3637300419997","16","Idaho"
"238",41207,2005,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",45.7,38.08,53.46,"Did not currently drink alcohol",54.3,46.54,61.92,210,"Male","White","11th","41.70828019300046"," -71.52247031399963","44","Rhode Island"
"239",41360,2013,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",9.4,6.64,13.12,"Did not currently drink alcohol",90.6,86.88,93.36,508,"Female","Asian","Total","42.82700103200045"," -75.54397042699964","36","New York"
"240",41463,2011,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",44.2,39.55,48.93,"Did not currently drink alcohol",55.8,51.07,60.45,124,"Male","White","12th","35.466220975000454"," -79.15925046299964","37","North Carolina"
"241",43211,2005,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",44.1,39.15,49.17,"Did not currently drink alcohol",55.9,50.83,60.85,487,"Male","Total","10th","42.27687047000046"," -72.08269067499964","25","Massachusetts"
"242",43546,2013,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",32.9,25.68,41.04,"Did not currently drink alcohol",67.1,58.96,74.32,122,"Total","Hispanic or Latino","9th","47.06652897200047"," -109.42442064499971","30","Montana"
"243",43701,2009,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",55.8,49.57,61.81,"Did not currently drink alcohol",44.2,38.19,50.43,363,"Total","Total","12th","47.47531977900047"," -100.11842104899966","38","North Dakota"
"244",44528,1997,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",25,13.1,42.53,"Did not currently drink alcohol",75,57.47,86.9,126,"Male","Total","12th","39.360700171000474"," -111.58713063499971","49","Utah"
"245",44890,1995,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",48.4,38.41,58.42,"Did not currently drink alcohol",51.6,41.58,61.59,111,"Female","White","12th","35.466220975000454"," -79.15925046299964","37","North Carolina"
"246",45339,2013,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",21.9,18.36,26.01,"Did not currently drink alcohol",78.1,73.99,81.64,459,"Female","White","9th","47.06652897200047"," -109.42442064499971","30","Montana"
"247",45864,2011,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",41.4,36.37,46.54,"Did not currently drink alcohol",58.6,53.46,63.63,648,"Female","Total","11th","34.52088095200048"," -106.24058098499967","35","New Mexico"
"248",46271,2013,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",41.8,33.49,50.66,"Did not currently drink alcohol",58.2,49.34,66.51,165,"Total","White","12th","44.353130053000484"," -100.3735306369997","46","South Dakota"
"249",46408,2015,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",21.1,16.14,26.98,"Did not currently drink alcohol",78.9,73.02,83.86,218,"Female","White","9th","42.82700103200045"," -75.54397042699964","36","New York"
"250",46465,2011,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",28.8,21.92,36.79,"Did not currently drink alcohol",71.2,63.21,78.08,284,"Total","White","9th","35.466220975000454"," -79.15925046299964","37","North Carolina"
"251",46758,2009,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",24.7,15.45,37.13,"Did not currently drink alcohol",75.3,62.87,84.55,130,"Male","Multiple Race","Total","21.304850435000446"," -157.85774940299973","15","Hawaii"
"252",46854,1991,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",47,41.45,52.58,"Did not currently drink alcohol",53,47.42,58.55,808,"Total","White","9th","33.998821303000454"," -81.04537120699968","45","South Carolina"
"253",47255,2015,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",28.2,23.79,33.05,"Did not currently drink alcohol",71.8,66.95,76.21,1202,"Total","White","Total","34.74865012400045"," -92.27449074299966","05","Arkansas"
"254",47430,2013,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",18.6,11.93,27.68,"Did not currently drink alcohol",81.4,72.32,88.07,290,"Total","White","9th","40.48501028300046"," -88.99771017799969","17","Illinois"
"255",48297,2003,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",38.6,30.12,47.74,"Did not currently drink alcohol",61.4,52.26,69.88,233,"Female","Total","11th","43.682630005000476"," -114.3637300419997","16","Idaho"
"256",48603,2007,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",31.5,26.79,36.59,"Did not currently drink alcohol",68.5,63.41,73.21,190,"Total","Black or African American","10th","32.745510099000455"," -89.53803082499968","28","Mississippi"
"257",49991,2015,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",14.7,9.83,21.4,"Did not currently drink alcohol",85.3,78.6,90.17,160,"Total","Hispanic or Latino","9th","44.6613195430005"," -84.71439026999968","26","Michigan"
"258",515,1999,"Tobacco Use","Cigarette Use","Current cigarette use","Currently smoked cigarettes","on at least 1 day during the 30 days before the survey",45.2,37.3,53.3,"Did not currently smoke cigarettes",54.8,46.7,62.7,379,"Total","White","12th","42.82700103200045"," -75.54397042699964","36","New York"
"259",558,2001,"Tobacco Use","Cigarette Use","Current cigarette use","Currently smoked cigarettes","on at least 1 day during the 30 days before the survey",21.6,17.08,26.94,"Did not currently smoke cigarettes",78.4,73.06,82.92,406,"Male","Hispanic or Latino","Total","28.932040377000476"," -81.92896053899966","12","Florida"
"260",1618,1991,"Tobacco Use","Cigarette Use","Current cigarette use","Currently smoked cigarettes","on at least 1 day during the 30 days before the survey",22.9,18.11,28.53,"Did not currently smoke cigarettes",77.1,71.47,81.89,372,"Female","Total","12th","43.682630005000476"," -114.3637300419997","16","Idaho"
"261",1723,2011,"Tobacco Use","Cigarette Use","Current cigarette use","Currently smoked cigarettes","on at least 1 day during the 30 days before the survey",30.4,20.16,43.05,"Did not currently smoke cigarettes",69.6,56.95,79.84,112,"Male","White","12th","43.682630005000476"," -114.3637300419997","16","Idaho"
"262",2433,2009,"Tobacco Use","Cigarette Use","Current cigarette use","Currently smoked cigarettes","on at least 1 day during the 30 days before the survey",17.9,12.61,24.89,"Did not currently smoke cigarettes",82.1,75.11,87.39,648,"Female","Total","11th","35.466220975000454"," -79.15925046299964","37","North Carolina"
