"YEAR","Topic","Subtopic","ShortQuestionText","Greater_Risk_Question","Description","Greater_Risk_Data_Value","Greater_Risk_Low_Confidence_Limit","Greater_Risk_High_Confidence_Limit","Lesser_Risk_Question","Lesser_Risk_Data_Value","Lesser_Risk_Low_Confidence_Limit","Lesser_Risk_High_Confidence_Limit","Sample_Size","Sex","Race","Grade","GeoLocation","TopicId","SubTopicID","QuestionCode","LocationId","StratificationType","State"
1999,"Alcohol and Other Drug Use","Alcohol Use","5 or more drinks in a row","Drank five or more drinks of alcohol in a row","within a couple of hours on at least 1 day during the 30 days before the survey",32,25.89,38.77,"Did not drink five or more drinks of alcohol in a row",68,61.23,74.11,1618,"Total","Total","Total","(38.635790776000476, -92.56630005299968)","AOD01","ALC01","H44","29","State","Missouri"
1999,"Tobacco Use","Other Tobacco Use","Current smokeless tobacco use","Currently used smokeless tobacco","chewing tobacco, snuff, or dip on at least 1 day during the 30 days before the survey",15.5,11.83,20.01,"Did not currently use smokeless tobacco",84.5,79.99,88.17,714,"Male","Total","Total","(32.745510099000455, -89.53803082499968)","TUS01","OTU01","H37","28","State","Mississippi"
2001,"Dietary Behaviors","Milk","Milk drinking >= 2 glasses","N/A","during the 7 days before the survey",80.7,76.14,84.59,"Drank two or more glasses per day of milk",19.3,15.41,23.86,480,"Female","Total","11th","(28.932040377000476, -81.92896053899966)","DBH01","MLK01","QNMILK2","12","State","Florida"
2013,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Suicide consideration","Seriously considered attempting suicide","during the 12 months before the survey",27.3,21.8,33.67,"Did not seriously consider attempting suicide",72.7,66.33,78.2,238,"Female","Total","9th","(44.353130053000484, -100.3735306369997)","UIV01","SRB01","H27","46","State","South Dakota"
2013,"Alcohol and Other Drug Use","Other Drug Use","Ever methamphetamine use","Ever used methamphetamines","also called ""speed,"" ""crystal,"" ""crank,"" or ""ice,"" one or more times during their life",1.9,0.86,4.3,"Never used methamphetamines",98.1,95.7,99.14,529,"Female","Hispanic or Latino","Total","(40.48501028300046, -88.99771017799969)","AOD01","ODU01","H53","17","State","Illinois"
2001,"Tobacco Use","Cigarette Use","Current cigarette use","Currently smoked cigarettes","on at least 1 day during the 30 days before the survey",30.7,25.34,36.58,"Did not currently smoke cigarettes",69.3,63.42,74.66,402,"Total","White","10th","(31.827240407000488, -99.42677020599967)","TUS01","CIG01","H33","48","State","Texas"
2001,"Alcohol and Other Drug Use","Other Drug Use","Ever steroid use","Ever took steroids without a doctor's prescription","pills or shots, one or more times during their life",3.3,0.96,10.6,"Never took steroids without a doctor's prescription",96.7,89.4,99.04,147,"Female","White","10th","(40.13057004800049, -74.27369128799967)","AOD01","ODU01","H56","34","State","New Jersey"
2013,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Sad or hopeless","Felt sad or hopeless","almost every day for 2 or more weeks in a row so that they stopped doing some usual activities during the 12 months before the survey",31.2,23.85,39.74,"Did not feel sad or hopeless",68.8,60.26,76.15,257,"Female","White","12th","(42.82700103200045, -75.54397042699964)","UIV01","SRB01","H26","36","State","New York"
2011,"Tobacco Use","Other Tobacco Use","Current cigarette or cigar use","Currently smoked cigarettes or cigars","on at least 1 day during the 30 days before the survey",26.7,21.51,32.56,"N/A",73.3,67.44,78.49,271,"Male","White","10th","(41.70828019300046, -71.52247031399963)","TUS01","OTU01","QNTOB2","44","State","Rhode Island"
2005,"Alcohol and Other Drug Use","Alcohol Use","Initiation of alcohol use","Drank alcohol before age 13 years","for the first time other than a few sips",23.5,17.52,30.7,"Did not drink alcohol before age 13 years",76.5,69.3,82.48,188,"Female","Hispanic or Latino","Total","(42.27687047000046, -72.08269067499964)","AOD01","ALC01","H42","25","State","Massachusetts"
2007,"Alcohol and Other Drug Use","Alcohol Use","Initiation of alcohol use","Drank alcohol before age 13 years","for the first time other than a few sips",26.5,23.73,29.57,"Did not drink alcohol before age 13 years",73.5,70.43,76.27,813,"Male","Total","Total","(39.493240390000494, -117.07184056399967)","AOD01","ALC01","H42","32","State","Nevada"
2011,"Physical Activity","Physical Activity","Television watching","Watched 3 or more hours per day of television","on an average school day",31.1,25.29,37.57,"Did not watch 3 or more hours per day of television",68.9,62.43,74.71,599,"Total","Total","9th","(38.66551020200046, -80.71264013499967)","PHA01","PAC01","H81","54","State","West Virginia"
2007,"Physical Activity","Physical Activity","Physical activity >= 5 days","Were not physically active at least 60 minutes per day on 5 or more days","doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time during the 7 days before the survey",70.3,61.22,78.06,"Were physically active at least 60 minutes per day on 5 or more days",29.7,21.94,38.78,181,"Female","American Indian or Alaska Native","Total","(35.47203135600046, -97.52107021399968)","PHA01","PAC01","H80","40","State","Oklahoma"
2007,"Dietary Behaviors","Vegetables","Vegetable eating >=1 time","N/A","green salad, potatoes (excluding French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",30.1,25.86,34.73,"Ate vegetables one or more times per day",69.9,65.27,74.14,380,"Total","White","10th","(43.65595011300047, -71.50036091999965)","DBH01","VEG01","QNVEG1","33","State","New Hampshire"
2005,"Dietary Behaviors","Fruit and fruit juices","No fruit consumption","Did not eat fruit or drink 100% fruit juices","during the 7 days before the survey",10,5.48,17.57,"Ate fruit or drank 100% fruit juices",90,82.43,94.52,131,"Female","White","11th","(34.74865012400045, -92.27449074299966)","DBH01","FFJ01","QNFR0","05","State","Arkansas"
1997,"Tobacco Use","Cigarette Use","Current daily cigarette use","Currently smoked cigarettes daily","on all 30 days during the 30 days before the survey",12.9,10.17,16.21,"Did not currently smoke cigarettes daily",87.1,83.79,89.83,381,"Female","White","10th","(32.84057112200048, -86.63186076199969)","TUS01","CIG01","QNDAYCIG","01","State","Alabama"
2007,"Alcohol and Other Drug Use","Other Drug Use","Initiation of marijuana use","Tried marijuana before age 13 years","for the first time",19.8,12.36,30.04,"Did not try marijuana before age 13 years",80.2,69.96,87.64,117,"Female","Hispanic or Latino","Total","(43.23554134300048, -108.10983035299967)","AOD01","ODU01","H48","56","State","Wyoming"
2013,"Sexual Behaviors","Sexual Behaviors","No birth control use","Did not use any method to prevent pregnancy","during last sexual intercourse, among students who were currently sexually active",9,7.49,10.84,"N/A",91,89.16,92.51,2184,"Total","Total","Total","(45.254228894000505, -68.98503133599962)","SBH01","SXB01","QNBCNONE","23","State","Maine"
2009,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Riding with a drinking driver","Rode with a driver who had been drinking alcohol","in a car or other vehicle one or more times during the 30 days before the survey",22.1,17.79,27.19,"Did not ride with a driver who had been drinking alcohol",77.9,72.81,82.21,195,"Male","Total","10th","(39.29058096400047, -76.60926011099963)","UIV01","UIN01","H10","24","State","Maryland"
2011,"Alcohol and Other Drug Use","Alcohol Use","Current alcohol use","Currently drank alcohol","at least one drink of alcohol on at least 1 day during the 30 days before the survey",32.6,29.54,35.85,"Did not currently drink alcohol",67.4,64.15,70.46,1736,"Total","Total","Total","(38.34774030000045, -98.20078122699965)","AOD01","ALC01","H43","20","State","Kansas"
2005,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",22.6,17.6,28.43,"Did not currently use marijuana",77.4,71.57,82.4,212,"Male","White","11th","(28.932040377000476, -81.92896053899966)","AOD01","ODU01","H49","12","State","Florida"
2013,"Physical Activity","Physical Activity","Daily PE attendance","Did not attend physical education classes on all 5 days","in an average week when they were in school",74.7,68.94,79.7,"Attended physical education classes on all 5 days",25.3,20.3,31.06,508,"Male","Total","11th","(44.6613195430005, -84.71439026999968)","PHA01","PAC01","QNDLYPE","26","State","Michigan"
2003,"Dietary Behaviors","Vegetables","Vegetable eating >=2 times","N/A","green salad, potatoes (excluding French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",73.3,68.12,77.85,"Ate vegetables two or more times per day",26.7,22.15,31.88,705,"Total","Total","12th","(28.932040377000476, -81.92896053899966)","DBH01","VEG01","QNVEG2","12","State","Florida"
2013,"Alcohol and Other Drug Use","Other Drug Use","Ever cocaine use","Ever used cocaine","any form of cocaine, such as powder, crack, or freebase, one or more times during their life",2.3,0.99,5.26,"Never used cocaine",97.7,94.74,99.01,249,"Male","Total","11th","(39.360700171000474, -111.58713063499971)","AOD01","ODU01","H50","49","State","Utah"
2011,"Alcohol and Other Drug Use","Other Drug Use","Ever methamphetamine use","Ever used methamphetamines","also called ""speed,"" ""crystal,"" ""crank,"" or ""ice,"" one or more times during their life",3.2,1.46,6.85,"Never used methamphetamines",96.8,93.15,98.54,179,"Male","Total","11th","(37.54268067400045, -78.45789046299967)","AOD01","ODU01","H53","51","State","Virginia"
1995,"Tobacco Use","Cigarette Use","Initiation of cigarette use","Smoked a whole cigarette before age 13 years","for the first time",19.8,16.11,24.05,"Did not smoke a whole cigarette before age 13 years",80.2,75.95,83.89,1197,"Total","Black or African American","Total","(32.84057112200048, -86.63186076199969)","TUS01","CIG01","H32","01","State","Alabama"
2009,"Alcohol and Other Drug Use","Other Drug Use","Ever cocaine use","Ever used cocaine","any form of cocaine, such as powder, crack, or freebase, one or more times during their life",3.9,2.02,7.53,"Never used cocaine",96.1,92.47,97.98,262,"Total","White","9th","(39.29058096400047, -76.60926011099963)","AOD01","ODU01","H50","24","State","Maryland"
1997,"Alcohol and Other Drug Use","Alcohol Use","5 or more drinks in a row","Drank five or more drinks of alcohol in a row","within a couple of hours on at least 1 day during the 30 days before the survey",12.7,9.9,16.03,"Did not drink five or more drinks of alcohol in a row",87.3,83.97,90.1,574,"Total","Black or African American","10th","(33.998821303000454, -81.04537120699968)","AOD01","ALC01","H44","45","State","South Carolina"
2015,"Alcohol and Other Drug Use","Alcohol Use","Largest number of drinks","Reported that the largest number of drinks they had in a row was 10 or more","within a couple of hours during the 30 days before the survey",2,0.73,5.64,"Reported that the largest number of drinks they had in a row was less than 10",98,94.36,99.27,125,"Male","White","9th","(32.84057112200048, -86.63186076199969)","AOD01","ALC01","H45","01","State","Alabama"
2015,"Alcohol and Other Drug Use","Other Drug Use","Ever methamphetamine use","Ever used methamphetamines","also called ""speed,"" ""crystal,"" ""crank,"" or ""ice,"" one or more times during their life",4.7,1.55,13.56,"Never used methamphetamines",95.3,86.44,98.45,317,"Female","Hispanic or Latino","Total","(44.6613195430005, -84.71439026999968)","AOD01","ODU01","H53","26","State","Michigan"
2013,"Alcohol and Other Drug Use","Alcohol Use","Ever alcohol use","Ever drank alcohol","at least one drink of alcohol on at least 1 day during their life",48.8,47.33,50.29,"Never drank alcohol",51.2,49.71,52.67,13945,"Total","Total","9th","(39.29058096400047, -76.60926011099963)","AOD01","ALC01","H41","24","State","Maryland"
2001,"Dietary Behaviors","Milk","No milk drinking","Did not drink milk","during the 7 days before the survey",9.1,7.25,11.39,"Drank milk",90.9,88.61,92.75,436,"Total","Total","11th","(47.47531977900047, -100.11842104899966)","DBH01","MLK01","H78","38","State","North Dakota"
2005,"Obesity, Overweight, and Weight Control","Obesity and Overweight","Overweight","Were overweight",">= 85th percentile but <95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts",17.1,15.02,19.3,"N/A",82.9,80.7,84.98,3285,"Total","Hispanic or Latino","Total","(42.82700103200045, -75.54397042699964)","OOW01","OOW01","QNOWT","36","State","New York"
2003,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Riding with a drinking driver","Rode with a driver who had been drinking alcohol","in a car or other vehicle one or more times during the 30 days before the survey",29.6,22.61,37.6,"Did not ride with a driver who had been drinking alcohol",70.4,62.4,77.39,175,"Total","Black or African American","11th","(28.932040377000476, -81.92896053899966)","UIV01","UIN01","H10","12","State","Florida"
1993,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Physical fighting at school","Were in a physical fight on school property","one or more times during the 12 months before the survey",15.6,11.52,20.73,"Were not in a physical fight on school property",84.4,79.27,88.48,406,"Total","Black or African American","11th","(33.998821303000454, -81.04537120699968)","UIV01","VIO01","H20","45","State","South Carolina"
2009,"Alcohol and Other Drug Use","Other Drug Use","Current marijuana use","Currently used marijuana","one or more times during the 30 days before the survey",25,17.4,34.62,"Did not currently use marijuana",75,65.38,82.6,167,"Male","Total","11th","(32.84057112200048, -86.63186076199969)","AOD01","ODU01","H49","01","State","Alabama"
2003,"Tobacco Use","Other Tobacco Use","Current smokeless tobacco use","Currently used smokeless tobacco","chewing tobacco, snuff, or dip on at least 1 day during the 30 days before the survey",3.5,1.73,6.92,"Did not currently use smokeless tobacco",96.5,93.08,98.27,321,"Total","Total","12th","(41.70828019300046, -71.52247031399963)","TUS01","OTU01","H37","44","State","Rhode Island"
2013,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Attempted suicide","Attempted suicide","one or more times during the 12 months before the survey",8.6,5.14,14.01,"Did not attempt suicide",91.4,85.99,94.86,240,"Female","Total","10th","(32.83968109300048, -83.62758034599966)","UIV01","SRB01","H29","13","State","Georgia"
2013,"Physical Activity","Physical Activity","Physical activity","Did not participate in at least 60 minutes of physical activity on at least 1 day","doing any kind of physical activity that increased their heart rate and made them breathe hard some of the time during the 7 days before the survey",15.9,11.9,20.95,"Participated in at least 60 minutes of physical activity on at least 1 day",84.1,79.05,88.1,461,"Total","Total","10th","(38.34774030000045, -98.20078122699965)","PHA01","PAC01","QNPA0DAY","20","State","Kansas"
1997,"Sexual Behaviors","Sexual Behaviors","Current sexual activity","Were currently sexually active","had sexual intercourse with at least one person during the 3 months before the survey",40.7,33.67,48.2,"Were not currently sexually active",59.3,51.8,66.33,246,"Female","White","10th","(34.74865012400045, -92.27449074299966)","SBH01","SXB01","H63","05","State","Arkansas"
2009,"Alcohol and Other Drug Use","Other Drug Use","Initiation of marijuana use","Tried marijuana before age 13 years","for the first time",15.1,10.1,21.96,"Did not try marijuana before age 13 years",84.9,78.04,89.9,156,"Total","Black or African American","10th","(40.48501028300046, -88.99771017799969)","AOD01","ODU01","H48","17","State","Illinois"
2009,"Obesity, Overweight, and Weight Control","Obesity and Overweight","Obesity","Had obesity",">= 95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts",12.8,10.58,15.37,"N/A",87.2,84.63,89.42,468,"Female","Black or African American","Total","(28.932040377000476, -81.92896053899966)","OOW01","OOW01","QNOBESE","12","State","Florida"
2015,"Dietary Behaviors","Milk","Milk drinking >= 1 glass","N/A","during the 7 days before the survey",73.8,60.56,83.76,"Drank one or more glasses per day of milk",26.2,16.24,39.44,321,"Male","Hispanic or Latino","10th","(42.82700103200045, -75.54397042699964)","DBH01","MLK01","QNMILK1","36","State","New York"
2011,"Other Health Topics","Oral Health Care","Oral health care","Did not see a dentist","for a check-up, exam, teeth cleaning, or other dental work during the 12 months before the survey",29.8,22.32,38.5,"Saw a dentist",70.2,61.5,77.68,175,"Male","Total","10th","(40.06021014100048, -82.40426005599966)","OHT01","OHC01","H86","39","State","Ohio"
2009,"Tobacco Use","Cigarette Use","Current daily cigarette use","Currently smoked cigarettes daily","on all 30 days during the 30 days before the survey",5.4,3.59,7.95,"Did not currently smoke cigarettes daily",94.6,92.05,96.41,723,"Total","Total","11th","(42.27687047000046, -72.08269067499964)","TUS01","CIG01","QNDAYCIG","25","State","Massachusetts"
2003,"Sexual Behaviors","Sexual Behaviors","Multiple sex partners","Had sexual intercourse with four or more persons","during their life",4.7,2.26,9.67,"Did not have sexual intercourse with four or more persons",95.3,90.33,97.74,159,"Male","White","9th","(64.84507995700051, -147.72205903599973)","SBH01","SXB01","H62","02","State","Alaska"
2007,"Alcohol and Other Drug Use","Other Drug Use","Ever marijuana use","Ever used marijuana","one or more times during their life",42.5,35.24,50.02,"Never used marijuana",57.5,49.98,64.76,378,"Total","White","11th","(43.65595011300047, -71.50036091999965)","AOD01","ODU01","H47","33","State","New Hampshire"
2011,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Suicide plan","Made a plan about how they would attempt suicide","during the 12 months before the survey",9.8,5.01,18.3,"Did not make a plan about how they would attempt suicide",90.2,81.7,94.99,147,"Male","Hispanic or Latino","Total","(40.13057004800049, -74.27369128799967)","UIV01","SRB01","H28","34","State","New Jersey"
2009,"Sexual Behaviors","Sexual Behaviors","Alcohol/drugs and sex","Drank alcohol or used drugs","before last sexual intercourse, among students who were currently sexually active",24.5,13.33,40.59,"Did not drink alcohol or use drugs",75.5,59.41,86.67,164,"Total","Black or African American","9th","(42.82700103200045, -75.54397042699964)","SBH01","SXB01","H64","36","State","New York"
2007,"Physical Activity","Physical Activity","Sports team participation","Did not play on at least one sports team","run by their school or community groups during the 12 months before the survey",47.6,41.84,53.41,"Played on at least one sports team",52.4,46.59,58.16,163,"Male","White","11th","(39.766910452000445, -86.14996019399968)","PHA01","PAC01","H84","18","State","Indiana"
2007,"Alcohol and Other Drug Use","Alcohol Use","5 or more drinks in a row","Drank five or more drinks of alcohol in a row","within a couple of hours on at least 1 day during the 30 days before the survey",14.5,7.98,24.81,"Did not drink five or more drinks of alcohol in a row",85.5,75.19,92.02,125,"Total","Black or African American","Total","(39.493240390000494, -117.07184056399967)","AOD01","ALC01","H44","32","State","Nevada"
2015,"Sexual Behaviors","Sexual Behaviors","Ever sexual intercourse","Ever had sexual intercourse",,49.2,41.06,57.43,"Never had sexual intercourse",50.8,42.57,58.94,269,"Male","Hispanic or Latino","Total","(42.27687047000046, -72.08269067499964)","SBH01","SXB01","H60","25","State","Massachusetts"
2015,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Bicycle helmet use","Never or rarely wore a bicycle helmet","among students who had ridden a bicycle during the 12 months before the survey",80,74.37,84.61,"Sometimes, most of the time, or always wore a bicycle helmet",20,15.39,25.63,551,"Total","Asian","Total","(42.82700103200045, -75.54397042699964)","UIV01","UIN01","H8","36","State","New York"
2001,"Obesity, Overweight, and Weight Control","Weight Control","Perception of weight","Described themselves as slightly or very overweight",,31.3,25.4,37.93,"N/A",68.7,62.07,74.6,251,"Total","Black or African American","Total","(42.27687047000046, -72.08269067499964)","OOW01","WTC01","H69","25","State","Massachusetts"
1999,"Dietary Behaviors","Vegetables","No vegetable eating","Did not eat vegetables","green salad, potatoes (excluding French fries, fried potatoes, or potato chips), carrots, or other vegetables, during the 7 days before the survey",2.7,1.41,5.22,"Ate vegetables",97.3,94.78,98.59,271,"Total","White","12th","(43.23554134300048, -108.10983035299967)","DBH01","VEG01","QNVEG0","56","State","Wyoming"
2011,"Tobacco Use","Other Tobacco Use","Current cigar use","Currently smoked cigars","cigars, cigarillos, or little cigars on at least 1 day during the 30 days before the survey",9.5,6.42,13.81,"Did not currently smoke cigars",90.5,86.19,93.58,326,"Total","White","11th","(43.682630005000476, -114.3637300419997)","TUS01","OTU01","H38","16","State","Idaho"
1995,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Bicycle helmet use","Never or rarely wore a bicycle helmet","among students who had ridden a bicycle during the 12 months before the survey",96.7,95.35,97.68,"Sometimes, most of the time, or always wore a bicycle helmet",3.3,2.32,4.65,859,"Total","Total","Total","(21.304850435000446, -157.85774940299973)","UIV01","UIN01","H8","15","State","Hawaii"
2005,"Alcohol and Other Drug Use","Other Drug Use","Ever steroid use","Ever took steroids without a doctor's prescription","pills or shots, one or more times during their life",15.6,11.4,21.1,"Never took steroids without a doctor's prescription",84.4,78.9,88.6,140,"Total","Multiple Race","Total","(43.62538123900049, -72.51764079099962)","AOD01","ODU01","H56","50","State","Vermont"
2003,"Tobacco Use","Cigarette Use","Frequent cigarette use","Currently smoked cigarettes frequently","on 20 or more days during the 30 days before the survey",6.8,3.02,14.45,"Did not currently smoke cigarettes frequently",93.2,85.55,96.98,309,"Total","Black or African American","Total","(35.68094058000048, -85.77449091399967)","TUS01","CIG01","QNFRCIG","47","State","Tennessee"
1993,"Physical Activity","Physical Activity","Daily PE attendance","Did not attend physical education classes on all 5 days","in an average week when they were in school",45.9,40.74,51.18,"Attended physical education classes on all 5 days",54.1,48.82,59.26,1367,"Male","White","Total","(32.84057112200048, -86.63186076199969)","PHA01","PAC01","QNDLYPE","01","State","Alabama"
2007,"Dietary Behaviors","Fruit and fruit juices","No fruit consumption","Did not eat fruit or drink 100% fruit juices","during the 7 days before the survey",6,4.74,7.56,"Ate fruit or drank 100% fruit juices",94,92.44,95.26,1299,"Total","Total","Total","(64.84507995700051, -147.72205903599973)","DBH01","FFJ01","QNFR0","02","State","Alaska"
2003,"Unintentional Injuries and Violence","Suicide-Related Behaviors","Attempted suicide","Attempted suicide","one or more times during the 12 months before the survey",3.5,2.46,4.84,"Did not attempt suicide",96.5,95.16,97.54,1329,"Male","White","Total","(42.82700103200045, -75.54397042699964)","UIV01","SRB01","H29","36","State","New York"
1997,"Tobacco Use","Other Tobacco Use","Current smokeless tobacco use","Currently used smokeless tobacco","chewing tobacco, snuff, or dip on at least 1 day during the 30 days before the survey",7.5,5.37,10.31,"Did not currently use smokeless tobacco",92.5,89.69,94.63,776,"Total","White","10th","(42.27687047000046, -72.08269067499964)","TUS01","OTU01","H37","25","State","Massachusetts"
2005,"Dietary Behaviors","Milk","No milk drinking","Did not drink milk","during the 7 days before the survey",34.2,30.34,38.25,"Drank milk",65.8,61.75,69.66,686,"Total","Black or African American","Total","(32.83968109300048, -83.62758034599966)","DBH01","MLK01","H78","13","State","Georgia"
1995,"Physical Activity","Physical Activity","PE attendance","Did not attend physical education classes on 1 or more days","in an average week when they were in school",77,57.74,89.1,"Attended physical education classes on 1 or more days",23,10.9,42.26,116,"Male","White","12th","(44.353130053000484, -100.3735306369997)","PHA01","PAC01","H83","46","State","South Dakota"
2011,"Sexual Behaviors","Sexual Behaviors","Dual birth control use","Did not use both a condom during and birth control pills; an IUD or implant; or a shot, patch, or birth control ring","before last sexual intercourse to prevent pregnancy, among students who were currently sexually active",95.5,90.39,97.95,"Used both a condom during and birth control pills; an IUD or implant; or a shot, patch, or birth control ring",4.5,2.05,9.61,168,"Total","Total","9th","(44.6613195430005, -84.71439026999968)","SBH01","SXB01","QNDUALBC","26","State","Michigan"
2003,"Dietary Behaviors","Milk","Milk drinking >= 3 glasses","N/A","during the 7 days before the survey",90.4,84.86,94.04,"Drank three or more glasses per day of milk",9.6,5.96,15.14,211,"Female","White","10th","(37.645970271000465, -84.77497104799966)","DBH01","MLK01","QNMILK3","21","State","Kentucky"
1995,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Physical fighting","Were in a physical fight","one or more times during the 12 months before the survey",38.9,23.13,57.38,"Were not in a physical fight",61.1,42.62,76.87,120,"Male","Hispanic or Latino","10th","(40.48501028300046, -88.99771017799969)","UIV01","VIO01","H18","17","State","Illinois"
2007,"Physical Activity","Physical Activity","Computer use","Played video or computer games or used a computer 3 or more hours per day","for something that was not school work on an average school day",8.4,5.68,12.36,"Did not play video or computer games or use a computer 3 or more hours per day",91.6,87.64,94.32,411,"Female","Total","12th","(47.06652897200047, -109.42442064499971)","PHA01","PAC01","H82","30","State","Montana"
1997,"Tobacco Use","Cigarette Use","Smoked >10 cigarettes","Smoked more than 10 cigarettes per day","on the days they smoked during the 30 days before the survey, among students who currently smoked cigarettes",21.2,16.55,26.75,"Did not smoke more than 10 cigarettes per day",78.8,73.25,83.45,226,"Total","Total","11th","(34.74865012400045, -92.27449074299966)","TUS01","CIG01","H34","05","State","Arkansas"
2011,"Tobacco Use","Cigarette Use","Current cigarette use","Currently smoked cigarettes","on at least 1 day during the 30 days before the survey",24.3,16.6,34.08,"Did not currently smoke cigarettes",75.7,65.92,83.4,788,"Female","Total","Total","(44.353130053000484, -100.3735306369997)","TUS01","CIG01","H33","46","State","South Dakota"
2007,"Alcohol and Other Drug Use","Other Drug Use","Ever steroid use","Ever took steroids without a doctor's prescription","pills or shots, one or more times during their life",4.1,2.47,6.71,"Never took steroids without a doctor's prescription",95.9,93.29,97.53,326,"Total","White","11th","(39.008830667000495, -75.57774116799965)","AOD01","ODU01","H56","10","State","Delaware"
2007,"Dietary Behaviors","Soda or pop","Soda drinking >= 2 times","Drank a can, bottle, or glass of soda or pop two or more times per day","not counting diet soda or diet pop, during the 7 days before the survey",35.2,30.76,39.89,"N/A",64.8,60.11,69.24,1379,"Total","Total","Total","(38.66551020200046, -80.71264013499967)","DBH01","POP01","QNSODA2","54","State","West Virginia"
2005,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Threatened at school","Were threatened or injured with a weapon on school property","such as, a gun, knife, or club, one or more times during the 12 months before the survey",7.9,6.05,10.29,"Were not threatened or injured with a weapon on school property",92.1,89.71,93.95,2814,"Total","Total","9th","(42.82700103200045, -75.54397042699964)","UIV01","VIO01","H17","36","State","New York"
2011,"Alcohol and Other Drug Use","Alcohol Use","5 or more drinks in a row","Drank five or more drinks of alcohol in a row","within a couple of hours on at least 1 day during the 30 days before the survey",21,11.54,35.19,"Did not drink five or more drinks of alcohol in a row",79,64.81,88.46,200,"Total","American Indian or Alaska Native","10th","(34.52088095200048, -106.24058098499967)","AOD01","ALC01","H44","35","State","New Mexico"
2013,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Bicycle helmet use","Never or rarely wore a bicycle helmet","among students who had ridden a bicycle during the 12 months before the survey",90.9,85.15,94.56,"Sometimes, most of the time, or always wore a bicycle helmet",9.1,5.44,14.85,200,"Male","Total","10th","(32.83968109300048, -83.62758034599966)","UIV01","UIN01","H8","13","State","Georgia"
2013,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Electronic bullying","Were electronically bullied","counting being bullied through e-mail, chat rooms, instant messaging, Web sites, or texting during the 12 months before the survey",17.2,12.3,23.5,"Were not electronically bullied",82.8,76.5,87.7,505,"Female","Total","12th","(34.52088095200048, -106.24058098499967)","UIV01","VIO01","H25","35","State","New Mexico"
2013,"Unintentional Injuries and Violence","Behaviors that Contribute to Unintentional Injuries","Texting and driving","Texted or e-mailed while driving a car or other vehicle","on at least 1 day during the 30 days before the survey, among students who had driven a car or other vehicle during the 30 days before the survey",57.3,47.46,66.65,"Did not text or e-mail while driving a car or other vehicle",42.7,33.35,52.54,269,"Female","White","11th","(44.39319117400049, -89.81637074199966)","UIV01","UIN01","H12","55","State","Wisconsin"
2005,"Tobacco Use","Cigarette Use","Ever cigarette use","Ever tried cigarette smoking","even one or two puffs",52.9,43.37,62.17,"Never tried cigarette smoking",47.1,37.83,56.63,153,"Female","White","10th","(44.353130053000484, -100.3735306369997)","TUS01","CIG01","H31","46","State","South Dakota"
2001,"Dietary Behaviors","Milk","Milk drinking >= 1 glass","N/A","during the 7 days before the survey",71.5,65.31,77.01,"Drank one or more glasses per day of milk",28.5,22.99,34.69,263,"Total","Black or African American","Total","(34.74865012400045, -92.27449074299966)","DBH01","MLK01","QNMILK1","05","State","Arkansas"
2007,"Tobacco Use","Other Tobacco Use","Current cigarette or cigar use","Currently smoked cigarettes or cigars","on at least 1 day during the 30 days before the survey",49.6,37.44,61.79,"N/A",50.4,38.21,62.56,142,"Male","White","12th","(39.766910452000445, -86.14996019399968)","TUS01","OTU01","QNTOB2","18","State","Indiana"
1993,"Alcohol and Other Drug Use","Other Drug Use","Illegal drugs at school","Were offered, sold, or given an illegal drug on school property","during the 12 months before the survey",36.4,31.04,42.19,"Were not offered, sold, or given an illegal drug on school property",63.6,57.81,68.96,378,"Male","Total","9th","(42.27687047000046, -72.08269067499964)","AOD01","ODU01","H59","25","State","Massachusetts"
2009,"Unintentional Injuries and Violence","Behaviors that Contribute to Violence","Forced sexual intercourse","Were ever physically forced to have sexual intercourse","when they did not want to",2.5,0.67,8.57,"Were never physically forced to have sexual intercourse",97.5,91.43,99.33,123,"Male","White","9th","(32.745510099000455, -89.53803082499968)","UIV01","VIO01","H21","28","State","Mississippi"
